item	class	count
mk16_mod2	strip	6
mk17_ssr	strip	6
modul_m_01	keep	1
modul_m_02	keep	1
modul_m_03	keep	2
molotov grenade	strip	16
molotov_cocktail grenade	strip	21
mosin	strip	4
mosin_scope	strip	6
mp5_ammo ammo	strip	1
mp5a4e	strip	1
msv_1	keep	11
msv_2	keep	18
msv_3	keep	11
msv_4	keep	3
msv_5	keep	2
msv_vest_1	keep	1
msv_vest_2	keep	1
mw19_usmc_vest	keep	8
nagant_silencer	strip	5
napashnik	strip	60
ng_backpack	keep	24
ng_backpack1	keep	50
ng_gas	strip	6
ng_vest	keep	28
ng_vest2	keep	24
ng_vest3	keep	15
ng_vest4	keep	12
nlaw	strip	34
osp30	strip	1
pais_bron_vsu	keep	193
panzerfaust3 weapon	strip	10
pf89b weapon	strip	6
pf98 weapon	strip	4
pfm_vest_2	keep	2
pg-29v rpg29 ammo	strip	13
pg-7v ammo	strip	1
pg-7v rpg7 ammo	strip	1
pg-7vl rpg7 ammo	strip	7
pickaxe	keep	106
pk	strip	4
pk_box ammo	strip	104
pkm	strip	35
pkp_a	strip	18
pla21_ammobag	strip	2
pla21_ammobag_hm	strip	2
pla21_backpacks	keep	16
pla21_backpacks_hm	keep	16
pla21_glass	keep	52
pla21_vest_3	keep	5
pm	strip	2
pmd mine	strip	5
poviazka_rus	keep	38
ppsh41_stick	strip	2
ppsh_stick ammo	strip	2
ptr ammo	strip	2
ptrs	strip	2
qbs09	strip	2
qbu10	strip	2
qbu_191	strip	2
qbu_202	strip	2
qbz951_longbow_holo	strip	4
qbz951_longbow_qmk	strip	6
qbz_191	strip	14
qbz_191_holo	strip	5
qbz_191_qmk	strip	2
qbz_191_syq	strip	2
qcq_171	strip	4
qjb201_ammo ammo	strip	2
qjb_201	strip	2
qjy201_ammo ammo	strip	2
qjy_201	strip	2
qlu11	strip	2
qlu11_ammo ammo	strip	2
qlu12_ammo ammo	strip	2
qlz87	strip	2
r2_stugna atgm	strip	2
ranger_vest_1	keep	2
ranger_vest_3	keep	2
ranger_vest_4	keep	2
rdg1_smoke grenade	strip	2
rdg2 grenade	strip	1118
rdgm_smoke grenade	strip	136
red	strip	2
red_arrow12_rock ammo	strip	2
reece	strip	2
revolver_clip ammo	strip	5
rg6	strip	1
rgd2 grenade	strip	1
rgd5 grenade	strip	1143
rgw90_as	strip	19
rgw90_as weapon	strip	9
rgw90_as_he	strip	5
rifle_rus clip ammo	strip	10
rkg3 grenade	strip	84
rkg3t grenade	strip	13
rmc_vest_1	keep	1
RMG	strip	2
rmg	strip	2
roks_3_flame_thrower	strip	1
rpd	strip	3
rpd_drum ammo	strip	3
rpg2 ammo	strip	5
rpg2 weapon	strip	4
rpg22	strip	16
RPG22	strip	18
rpg22 weapon	strip	11
rpg26	strip	1
RPG26 weapon	strip	5
rpg26 weapon	strip	14
RPG26 weapon weapon	strip	78
RPG27	strip	4
rpg27	strip	2
rpg27 weapon	strip	2
RPG28	strip	4
rpg28 weapon	strip	6
RPG28 weapon weapon	strip	2
rpg29 weapon	strip	11
rpg29_ammo	strip	2
rpg40 grenade	strip	1
rpg7 ammo	strip	31
rpg7 he ammo	strip	1
rpg7 tbg	strip	4
rpg7 weapon	strip	21
rpg7_og-7v rpg7 ammo	strip	5
rpg7l ammo	strip	53
rpg7l he ammo	strip	28
rpg7l tbg ammo	strip	22
rpg7l vr	strip	2
rpg7l vr ammo	strip	36
rpg7vs weapon	strip	93
rpg_26 weapon	strip	1
rpg_29	strip	2
rpk	strip	4
rpk16_ammo	strip	2
rpk16_ammo ammo	strip	3
rpk74	strip	4
rpk74_mag ammo	strip	5
rpk_74m	strip	2
rpk_74m_ammo	strip	6
rpk_74m_ammo ammo	strip	3
rpk_74m_h	strip	2
rpk_mag	strip	10
rpk_mag ammo	strip	9
rpk_v2	strip	19
rpl_20	strip	3
RShG_1	strip	4
RShG_2	strip	20
rshg_2	strip	1
RShG_2 weapon	strip	41
rshg_2 weapon	strip	2
rus_6b45_body_01	keep	15
rus_6b45_body_02	keep	13
rus_6b45_body_03	keep	28
rus_6b45_body_04	keep	9
rus_6b45_body_05	keep	13
rus_afg_sh68	strip	26
rus_backpack_01	keep	2
rus_backpack_02	keep	56
rus_backpack_05	keep	12
rus_bandan	keep	26
rus_fsb_abody_1	keep	5
rus_fsb_abody_12	keep	43
rus_fsb_abody_12_1	keep	91
rus_fsb_abody_13	keep	68
rus_fsb_abody_1_1	keep	9
rus_fsb_abody_2_0	keep	4
rus_fsb_abody_3	keep	2
rus_fsb_abody_3_3	keep	4
rus_fsb_abody_3_4	keep	8
rus_fsb_abody_3_5	keep	4
rus_fsb_abody_6	keep	2
rus_fsb_glasses_1	keep	4
rus_fsb_glasses_2	keep	7
rus_ibt6049_body1	keep	5
rus_ibt6049_body3	keep	18
rus_las_designator_stan	strip	1
rus_nazgul_02	strip	5
rus_nazgul_03	strip	5
rus_nazgul_04	strip	7
rus_rus_sso_gru__abody_12	keep	2
rus_rus_sso_gru__abody_13	keep	1
rus_serb_abody_1	keep	2
rus_serb_abody_3_1	keep	4
rus_serb_abody_3_4	keep	2
rus_sso_body_1	keep	12
rus_sso_body_2	keep	11
rus_sso_body_3	keep	4
rus_sso_body_4	keep	12
rus_wagner_body_1	keep	6
rus_wagner_body_2	keep	15
rus_wagner_glasses_1	keep	22
rus_wagner_glasses_2	keep	30
rus_wagner_mask_1	keep	19
rus_wagner_mask_2	keep	4
sadm	strip	2
sai_gry_v1	strip	2
sai_gry_v2	strip	3
sas_armor1	keep	5
sas_armor2	keep	4
satchel_charge_rus	strip	9
scar ammo	strip	12
scar_h	strip	2
secret_doc_bag2	strip	8
sfg_glass_1	keep	2
shak12a1d	strip	2
shmel weapon	strip	33
Shmel weapon	strip	10
shovel_csa	keep	868
shovel_rus	keep	1153
sidr_shturm_01	strip	24
sig516_mod2	strip	2
sks	strip	17
sks ammo	strip	17
SMAW cm ammo	strip	2
smaw cm ammo	strip	7
SMAW fg ammo	strip	2
smaw fg ammo	strip	7
SMAW weapon	strip	2
smaw weapon	strip	4
sov_gasmask_gp5	keep	20
sov_helmet_ssh60_marine	keep	1
sov_helmet_ssh60_star	keep	5
spike-sr weapon	strip	1
sso_bacpack	keep	10
stechkin	strip	7
stechkin ammo	strip	7
stinger weapon	strip	13
strela-2 weapon	strip	7
sun_glasses_3	keep	6
sv98	strip	6
sv98_ammo ammo	strip	6
svd	strip	35
svd ammo	strip	69
svd_mk1	strip	2
svdk	strip	8
svdk_v2	strip	29
t86 grenade	strip	35
tbg-29 rpg29 ammo	strip	15
tent_kit	keep	122
thor_1	strip	4
thor_2	strip	2
tm62_g	strip	3
tmd_b mine	strip	5
tr1	strip	5
tt33	strip	13
tt33 ammo	strip	13
tt_308_v1	strip	2
tt_308_v2	strip	2
uar15_v1	strip	10
uar15_v2	strip	17
uav_dji_air2s_ammo	strip	8
ukr_backpac1	strip	2
ukr_backpack_01	keep	199
ukr_bron_1	keep	13
ukr_bron_1_azov	keep	1
ukr_bron_2	keep	12
ukr_bron_3	keep	4
ukr_bron_3_azov	keep	7
ukr_bron_4	keep	7
ukr_bron_4_azov	keep	4
ukr_ua_body_a_1	keep	38
ukr_ua_body_a_1_azov	keep	2
ukr_ua_body_a_2	keep	57
ukr_ua_body_au_01	keep	2
ukr_ua_body_au_02	keep	1
ukr_ua_body_au_03	keep	2
ukr_ua_body_b_1	keep	14
ukr_ua_body_c_1	keep	2
ukr_ua_body_c_2	keep	26
ukr_ua_body_c_3	keep	12
ukr_ua_body_c_4	keep	1
ukr_ua_body_c_mg	keep	2
ukr_ua_body_c_mg2	keep	2
ukr_ua_body_hur_01	keep	4
ukr_ua_body_hur_02	keep	14
ukr_ua_body_hur_03	keep	6
ukr_ua_body_kra_01	keep	6
ukr_ua_body_kra_02	keep	4
ukr_ua_body_kra_03	keep	6
ukr_ua_body_ngu	keep	2
ukr_ua_body_ngu_01	keep	1
ukr_ua_body_st_04	keep	1
ukr_ua_body_st_05	keep	8
ukr_ua_body_st_06	keep	2
ukr_ua_body_st_07mg	keep	2
urgi_m4	strip	16
us_backpack_1	keep	12
us_backpack_2	keep	45
us_backpack_3	keep	41
us_backpack_4	keep	15
usmc_desert_belt_2	keep	22
usmc_desert_belt_3	keep	29
usmc_desert_belt_5	keep	2
usmc_desert_belt_6	keep	5
usmc_desert_glasses_2	keep	16
usmc_mask_1	keep	22
usmc_mask_2	keep	16
usmc_woodland_backpack_1	keep	51
usmc_woodland_backpack_1_1	keep	5
usmc_woodland_backpack_2	keep	3
vest_6b45_smerch_1	keep	31
vest_usa_m69	keep	8
vityaz-sn_ammo ammo	strip	4
vog25 he	strip	2
vog25 he ammo	strip	61
vss_vintorez_v1	strip	2
weapon rpg26	strip	10
weapon RPG26	strip	8
weapon rpg26 	strip	12
weapon rshg_2	strip	2
wirecutters	keep	106
wpf89_1 weapon	strip	4
xm157	strip	6
xm7	strip	20
xm7_ammo ammo	strip	42
zarya	strip	124
